SNO,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
D50310_at,989,1120,1232,1132,1030,814,703,1034,1321,716,745,956,984,1307,571,2082,838,1132,1434,1479,1182,957,1008,435,569,831,1030,927,996,713,982,799,1669,883,1243,1463,848,1087,1150
D55716_at,521,276,334,389,492,273,308,426,217,299,214,370,714,339,159,386,233,389,372,339,235,929,362,37,281,189,126,281,280,149,450,185,224,220,308,443,574,155,352
D78012_at,688,647,558,750,507,599,438,683,1126,611,201,572,531,172,138,792,420,520,140,1289,511,1068,797,525,524,592,196,276,561,393,543,338,80,229,335,616,404,706,356
D80004_at,592,317,387,312,370,278,281,197,199,291,68,320,314,157,55,307,321,322,235,296,270,278,349,169,415,173,65,224,387,183,100,198,300,418,320,385,353,159,258
HG1612-HT1612_at,886,621,1040,931,915,1071,748,681,1242,831,294,1191,1156,861,315,741,930,819,988,957,805,1527,1310,964,998,1017,209,816,1133,602,1124,787,749,1034,1300,1307,1127,984,1288
L11931_at,236,206,222,219,269,216,211,382,445,270,293,330,314,265,161,323,256,240,226,292,301,259,413,362,376,264,312,244,302,249,386,409,227,253,191,245,252,250,229
L37043_at,953,908,680,948,622,715,336,720,373,768,295,608,271,287,70,750,609,1041,541,1023,531,824,699,222,445,543,261,525,488,446,421,408,357,556,832,1004,909,713,458
L37792_at,197,186,190,151,211,120,260,190,183,114,157,135,239,250,93,154,132,228,353,126,227,206,183,90,187,205,255,160,117,213,193,175,172,207,224,241,140,214,232
M31303_rna1_at,724,579,608,619,676,651,751,243,927,927,606,871,1066,568,466,746,472,581,604,908,699,964,732,830,1093,515,634,534,830,467,1106,842,573,576,696,791,631,819,751
M37457_at,201,353,600,317,640,419,773,88,150,58,140,363,211,212,26,142,186,323,769,124,554,203,145,129,206,804,281,95,389,245,486,487,300,79,179,125,99,450,504
M80629_at,105,94,81,89,95,185,116,172,129,124,98,113,144,130,99,188,84,88,97,142,147,246,125,113,111,122,179,114,163,92,86,140,102,117,119,90,104,206,94
M93119_at,628,760,596,825,536,471,165,396,192,213,169,536,459,128,20,701,686,923,409,899,233,597,1000,174,201,686,126,582,534,481,133,116,124,554,1060,1142,577,773,332
S78296_at,361,494,315,430,245,304,414,250,297,96,157,244,401,202,123,580,147,462,329,714,624,291,390,84,171,456,179,86,193,706,355,92,57,270,249,547,135,319,155
S82024_at,42,741,923,902,147,1493,703,413,377,420,875,1166,879,882,43,1149,124,614,788,654,223,1940,435,1190,104,732,874,583,234,286,106,436,189,971,458,797,309,1284,527
U09087_s_at,75,59,62,88,65,84,67,105,66,64,35,61,55,68,83,90,87,69,104,60,113,109,109,121,66,28,31,70,64,52,74,42,47,39,39,72,138,38,63
U16954_at,931,845,1107,1187,969,1172,1010,588,928,469,579,1237,812,649,70,1032,880,984,1159,1108,740,1443,808,945,861,981,378,626,1102,387,682,747,407,699,874,872,848,1069,786
U18271_cds3_s_at,65,61,59,79,57,72,68,88,51,57,74,79,75,71,61,82,74,64,67,63,95,85,191,109,99,55,78,80,64,66,208,120,59,51,46,57,102,54,60
U19878_at,149,166,163,96,153,258,89,167,179,64,71,180,113,93,96,126,112,160,101,235,95,249,75,114,205,167,61,107,207,120,105,125,51,88,125,123,117,263,102
U27193_at,74,243,331,141,207,74,155,75,122,28,83,150,237,227,34,161,44,76,234,86,158,209,85,20,103,252,77,45,146,57,178,83,36,57,174,174,28,82,139
U30521_at,1274,1308,1393,1075,1284,1341,1222,849,1414,348,353,1080,878,676,362,1073,851,1003,1137,1025,1224,1104,683,470,1005,1040,468,836,966,605,1352,1281,687,626,810,1330,1082,1614,1094
U31382_at,332,165,183,152,105,146,143,101,61,110,23,83,160,105,24,164,173,245,151,173,45,76,118,126,32,118,82,243,129,110,25,52,186,143,124,224,384,133,94
U44378_at,178,204,179,227,169,163,156,132,169,103,64,61,141,178,117,226,153,191,200,186,299,222,181,116,173,198,137,171,155,142,168,253,150,115,89,152,217,159,177
U49973_xpt2_at,58,74,71,43,65,71,78,93,85,63,40,70,107,130,60,124,52,46,87,106,100,114,51,54,139,80,85,76,86,84,71,130,53,86,82,81,57,120,66
U61145_at,133,86,140,164,320,156,139,181,223,277,73,280,280,143,93,166,52,80,119,147,140,338,135,249,383,97,111,74,283,57,190,180,91,68,65,118,141,90,113
U79248_at,47,60,66,53,61,62,50,47,54,32,38,21,39,50,27,59,43,56,56,46,53,42,71,73,31,67,32,41,50,46,49,53,34,41,58,58,55,49,76
U79262_at,179,192,215,187,263,233,252,173,200,154,170,299,298,261,131,215,142,171,185,178,222,315,120,101,152,259,186,219,196,111,147,137,189,148,204,208,185,171,200
V00599_s_at,1883,1441,1474,1872,1391,1572,1337,2605,1964,2363,1590,2064,1572,1581,2262,3008,1505,1341,1897,3658,1694,2392,2657,1446,1171,1849,2549,2033,1976,1031,1021,1395,2190,1794,1980,2961,1584,1858,1958
X70683_at,757,537,940,683,1571,1662,775,905,2421,454,794,1448,1800,1383,358,936,532,512,840,725,1423,2104,683,1001,2697,1349,1326,296,2619,320,923,2100,593,474,355,770,607,1949,1065
X73358_s_at,479,433,799,588,939,790,658,458,1021,496,537,1132,715,1283,305,616,334,574,1046,870,796,1047,422,458,357,825,488,512,918,245,407,541,373,620,465,537,648,662,1030
Z69915_at,160,172,184,164,157,158,186,184,124,159,56,154,127,85,64,396,167,185,166,178,183,215,140,90,139,278,109,152,193,160,162,114,216,149,191,122,210,222,250
